GEOID,nettotal,HPtotal
4005,-1.23675,11
4013,54.547,18.5
5119,-2.394,0
5143,0.612,11
6001,-28.72825,59.75
6013,-3.3415,3
6019,-0.805,7
6029,1.105,4
6037,-160.074,55.25
6059,-22.788,5.5
6067,-1.82525,3.5
6073,-25.45325,14.75
6075,-36.90225,20.75
6081,-15.259,1.666666667
6085,-47.9695,22.25
6087,-2.7785,3.75
6095,-0.220666667,3.666666667
6113,-1.687666667,0.333333333
8013,-1.67525,13
8031,-4.80675,11.75
8037,-0.49825,6.25
8059,-0.09325,18
8069,1.95,0
8097,-0.091333333,14.33333333
9009,-5.364,0
12011,-11.5085,16.5
12086,-49.44725,10
12095,-11.55533333,2
12099,11.4905,27.25
13051,0.232,2.333333333
13121,-0.245333333,5
17031,-94.96375,12.75
17085,0.105,2
17097,-4.803,3.5
17119,-0.984,2.5
18057,8.674,3.5
18097,-12.3955,7.75
18105,-2.127333333,47
19045,-0.002,0
19101,0.025,1
19103,-1.9215,4.75
21111,-5.94425,13
22051,-6.699666667,4.333333333
22071,-5.893333333,6.333333333
22121,0.269,0
23005,2.115,4
24031,-15.19,8
24510,-12.57175,10.5
25001,4.291,0.333333333
25005,1.45225,6.5
25009,-3.2635,1
25015,-0.61375,1.5
25017,-21.12025,14.25
25025,-29.92975,5.5
26161,-4.53625,9
26163,-13.998,0.75
27003,0.973,0
27053,-17.25075,4.5
27059,0.867333333,14.66666667
27123,-10.12775,1.75
27169,-0.416333333,1
28001,-0.38125,0.25
29019,-0.79875,3.25
29047,1.615666667,0
29111,0.034333333,0.333333333
29510,-8.387,5.25
32003,32.31625,31.25
32031,6.7615,4
34013,-12.407,5
35049,1.396333333,4
36001,-2.52225,1
36029,-4.013,10.5
36055,-5.49275,4.5
36061,-72.6525,18.75
36091,1.797333333,0
37021,2.6625,7
37063,-0.799,4.25
37067,1.29575,2.5
37081,0.07975,2.25
37119,-1.963666667,9.666666667
37135,-0.094,1
37183,11.614,2
39035,-12.103,13.25
39049,-14.262,13.75
39061,-8.20475,9.25
39095,-2.273,0
41029,1.323,6.75
41039,1.1175,8.25
41047,2.701,1
42003,-9.55675,2.75
42071,-0.931,3.333333333
42091,3.8745,3.75
42095,1.087666667,5.333333333
42101,-25.26925,9.25
44007,-3.895,9.75
45079,-0.287,2
47037,-11.7345,9.5
47093,5.055,6.5
47157,-7.537,11.5
48029,7.57925,6.75
48061,-2.615,4
48113,-39.667,6.333333333
48121,25.03833333,12.66666667
48141,-6.463,2
48201,-40.41075,22.5
48439,3.3895,5.5
48453,-0.79575,7.5
49019,0.111,0.5
49035,-6.96975,12.25
49043,0.6595,25
50007,-1.039,10.33333333
51121,-1.367,3.25
51131,0.03225,5.25
51540,-1.49625,5.25
51760,-3.19625,8.5
51770,-0.97025,0.25
53033,-21.76175,24.25
53053,2.820666667,5.666666667
53073,2.5215,7.5
55025,-5.041,11
55063,-0.458,3.75
55079,-16.155,3.5
55141,-0.2115,0.5
