Feature,Coef,P-value,StdErr,CI90,CI95,R2,Observations,RMSE
IV2SRWBGTCOUNT1,-1.38534204,0.00745305,0.51471271,0.846702409,1.008836912,0.617803148,403,8.998042554
OLSWBGTCOUNT1,0.589486159,0.003201052,0.198737497,0.327672439,0.390730903,0.270023722,403,12.60513002
TWFEWBGTCOUNT1,-0.01197808,0.9429348,0.167214961,0.275769911,0.328866051,0.582609137,403,9.53156963
maxtem5y1,-1.08498159,0.034927793,0.512415218,0.842923033,1.004333827,0.620263003,403,9.004408024
averagetem5y1,-1.241737908,0.015990477,0.512939279,0.843785114,1.005360987,0.621370232,403,8.98860606
maxtem20y1,-1.180608667,0.021229815,0.510150054,0.83919684,0.999894107,0.616368332,403,9.023220989
IV2SRWBGTmean6-81,-1.3220491,0.014944719,0.540552151,0.889208288,1.059482215,0.585866573,403,9.331421996
IV2SRHICOUNT1,-2.544580009,1.66E-06,0.522110543,0.858871843,1.023336664,0.656497187,403,8.63933591
IV2SRHImean6-81,-1.417636166,0.009232805,0.541544261,0.89084031,1.061426752,0.587228753,403,9.294052302
lag1y1,-2.490949444,4.99E-06,0.537199892,0.883693823,1.052911789,0.646280506,403,9.137064612
lag2y1,-3.406181252,4.21E-06,0.724578519,1.191931663,1.420173897,0.655830508,308,9.589223675
