Feature,Coef,P-value,StdErr,CI90,CI95,R2,Observations,RMSE
IV2SRWBGTCOUNT2,-5.552890492,0,0.579646651,0.95351874,1.136107435,0.613369821,403,10.17551851
OLSWBGTCOUNT2,-0.68955931,0.000220669,0.184914377,0.304881293,0.363553746,0.439821236,403,11.72838445
TWFEWBGTCOUNT2,-0.85974836,1.84E-05,0.197986249,0.326517734,0.389384749,0.481320728,403,11.28559132
maxtem5y2,-5.233038125,0,0.583066418,0.959144257,1.142810179,0.603032083,403,10.29298863
averagetem5y2,-5.513491703,0,0.579403533,0.953118812,1.135630925,0.611814829,403,10.19535206
maxtem20y2,-5.102292049,0,0.578720359,0.95199499,1.134291904,0.602445232,403,10.32360855
IV2SRWBGTmean6-82,-5.502994837,0,0.589173224,0.969189954,1.154779519,0.61291727,403,10.21355219
IV2SRHICOUNT2,-6.402769278,0,0.602638789,0.991340808,1.181172026,0.58180252,403,9.936493835
IV2SRHImean6-82,-5.701880196,0,0.59631651,0.980940658,1.168780359,0.618988192,403,10.18937492
lag1y2,-5.309390051,2.22E-16,0.608091569,1.000310631,1.191859475,0.555368567,403,10.55599576
lag2y2,-8.072723025,0,0.752188242,1.237349659,1.474288955,0.635613205,308,10.05742841
