Feature,Coef,P-value,StdErr,CI90,CI95,R2,Observations,RMSE
IV2SRWBGTCOUNT3,-7.539414987,8.88E-16,0.893953697,1.470553831,1.752149246,0.661210476,403,15.2330928
OLSWBGTCOUNT3,-0.100073151,0.741122012,0.302698975,0.499081014,0.595125961,0.38497152,403,19.19899365
TWFEWBGTCOUNT3,-0.871726439,0.002897339,0.290629614,0.479304615,0.571588884,0.542072621,403,16.56643865
maxtem5y3,-6.852252691,2.09E-13,0.896993299,1.475553978,1.758106867,0.647085556,403,15.38842412
averagetem5y3,-7.280557601,6.00E-15,0.892282362,1.467804486,1.74887343,0.654366404,403,15.28658323
maxtem20y3,-6.779859712,2.45E-13,0.890336462,1.46460348,1.745059465,0.646595465,403,15.42313621
IV2SRWBGTmean6-83,-7.292014511,4.09E-14,0.925148436,1.521869178,1.813290935,0.621862378,403,15.6731305
IV2SRHICOUNT3,-9.35127551,0,0.915691563,1.506312621,1.794755464,0.680392218,403,14.82185324
IV2SRHImean6-83,-7.565775655,5.11E-15,0.924422506,1.520675023,1.811868112,0.619305059,403,15.51640664
lag1y3,-7.775636543,6.66E-16,0.914491714,1.50433887,1.79240376,0.593100872,403,15.69119056
lag2y3,-11.57472123,0,1.170641461,1.925705204,2.294457264,0.642617433,308,15.50709368
