Feature,Coef,P-value,StdErr,CI90,CI95,R2,Observations,RMSE
IV2SRWBGTCOUNT1,-0.292108505,0.001381264,0.090597716,0.149033243,0.177571523,0.617803148,403,8.998042554
OLSWBGTCOUNT1,-0.250305317,5.08E-05,0.061082781,0.100711461,0.120092737,0.270023722,403,12.60513002
TWFEWBGTCOUNT1,-0.267230822,4.31E-07,0.051871699,0.085546495,0.102017431,0.582609137,403,9.53156963
maxtem5y1,-0.371046203,0.000276663,0.10101199,0.166164723,0.1979835,0.620263003,403,9.004408024
averagetem5y1,-0.331539605,0.000419958,0.093098336,0.153146762,0.182472738,0.621370232,403,8.98860606
maxtem20y1,-0.325182372,0.001044147,0.098363816,0.161808477,0.192793079,0.616368332,403,9.023220989
IV2SRWBGTmean6-81,-0.224591417,0.014596733,0.091506753,0.150528608,0.179353236,0.585866573,403,9.331421996
IV2SRHICOUNT1,-0.169921294,0.02445606,0.075199229,0.123702732,0.147390489,0.656497187,403,8.63933591
IV2SRHImean6-81,-0.219092392,0.017849815,0.092059864,0.151438476,0.180437333,0.587228753,403,9.294052302
lag1y1,0.364916638,0.000106999,0.093123171,0.153187616,0.182521415,0.646280506,403,9.137064612
lag2y1,0.072970902,0.616942793,0.145710985,0.23969457,0.285593531,0.655830508,308,9.589223675
