Feature,Coef,P-value,StdErr,CI90,CI95,R2,Observations,RMSE
IV2SRWBGTCOUNT3,-0.383231503,0.013970525,0.155131074,0.255190617,0.304056906,0.661210476,403,15.2330928
OLSWBGTCOUNT3,-0.614038883,1.34E-10,0.093035765,0.153394586,0.182914393,0.38497152,403,19.19899365
TWFEWBGTCOUNT3,-0.623064053,2.27E-11,0.090156118,0.148684929,0.177312402,0.542072621,403,16.56643865
maxtem5y3,-0.495788772,0.004792411,0.174652585,0.287303502,0.342319067,0.647085556,403,15.38842412
averagetem5y3,-0.404640463,0.011868077,0.159987104,0.263178785,0.313574723,0.654366404,403,15.28658323
maxtem20y3,-0.475440641,0.005393891,0.1698066,0.279331857,0.332820936,0.646595465,403,15.42313621
IV2SRWBGTmean6-83,-0.30340358,0.0510073,0.154947594,0.254888792,0.303697284,0.621862378,403,15.6731305
IV2SRHICOUNT3,-0.274069129,0.036724315,0.130708177,0.215014951,0.256188026,0.680392218,403,14.82185324
IV2SRHImean6-83,-0.310155356,0.046329426,0.155121411,0.255174721,0.304037966,0.619305059,403,15.51640664
lag1y3,0.511579849,0.001444575,0.159321092,0.262083196,0.31226934,0.593100872,403,15.69119056
lag2y3,-0.090780115,0.700268208,0.235556698,0.387490768,0.461691128,0.642617433,308,15.50709368
